2022-04-10 14:56:45.9007 INFO: Движение по треку
2022-04-10 14:56:46.0007 INFO: Движение по треку
2022-04-10 14:56:46.1007 INFO: Движение по треку
2022-04-10 14:56:46.2017 INFO: Движение по треку
2022-04-10 14:56:46.3007 INFO: Движение по треку
2022-04-10 14:56:46.4007 INFO: Движение по треку
2022-04-10 14:56:46.5006 INFO: Движение по треку
2022-04-10 14:56:46.6017 INFO: Движение по треку
2022-04-10 14:56:46.7017 INFO: Движение по треку
2022-04-10 14:56:46.8007 INFO: Движение по треку
2022-04-10 14:56:46.9017 INFO: Движение по треку
2022-04-10 14:56:47.0017 INFO: Движение по треку
2022-04-10 14:56:47.1017 INFO: Движение по треку
2022-04-10 14:56:47.2027 INFO: Движение по треку
2022-04-10 14:56:47.3016 INFO: Движение по треку
2022-04-10 14:56:47.4007 INFO: Движение по треку
2022-04-10 14:56:47.5018 INFO: Движение по треку
2022-04-10 14:56:47.6007 INFO: Движение по треку
2022-04-10 14:56:47.6997 INFO: Движение по треку
2022-04-10 14:56:47.8007 INFO: Движение по треку
2022-04-10 14:56:47.9006 INFO: Движение по треку
2022-04-10 14:56:48.0007 INFO: Движение по треку
2022-04-10 14:56:48.1007 INFO: Движение по треку
2022-04-10 14:56:48.2007 INFO: Движение по треку
2022-04-10 14:56:48.2997 INFO: Движение по треку
2022-04-10 14:56:48.4017 INFO: Движение по треку
2022-04-10 14:56:48.4997 INFO: Движение по треку
2022-04-10 14:56:48.6017 INFO: Движение по треку
2022-04-10 14:56:48.7007 INFO: Движение по треку
2022-04-10 14:56:48.8007 INFO: Движение по треку
2022-04-10 14:56:48.9017 INFO: Движение по треку
2022-04-10 14:56:49.0007 INFO: Движение по треку
2022-04-10 14:56:49.1017 INFO: Движение по треку
2022-04-10 14:56:49.2007 INFO: Движение по треку
2022-04-10 14:56:49.3017 INFO: Движение по треку
2022-04-10 14:56:49.4027 INFO: Движение по треку
2022-04-10 14:56:49.5006 INFO: Движение по треку
2022-04-10 14:56:49.6017 INFO: Движение по треку
2022-04-10 14:56:49.7027 INFO: Движение по треку
2022-04-10 14:56:49.8017 INFO: Движение по треку
2022-04-10 14:56:49.9017 INFO: Движение по треку
2022-04-10 14:56:50.0007 INFO: Движение по треку
2022-04-10 14:56:50.1007 INFO: Движение по треку
2022-04-10 14:56:50.2007 INFO: Движение по треку
2022-04-10 14:56:50.2998 INFO: Движение по треку
2022-04-10 14:56:50.4017 INFO: Движение по треку
2022-04-10 14:56:50.5007 INFO: Движение по треку
2022-04-10 14:56:50.6018 INFO: Движение по треку
2022-04-10 14:56:50.7017 INFO: Движение по треку
2022-04-10 14:56:50.7996 INFO: Движение по треку
2022-04-10 14:56:50.8997 INFO: Движение по треку
2022-04-10 14:56:50.9997 INFO: Движение по треку
2022-04-10 14:56:51.1007 INFO: Движение по треку
2022-04-10 14:56:51.2007 INFO: Движение по треку
2022-04-10 14:56:51.3027 INFO: Движение по треку
2022-04-10 14:56:51.4007 INFO: Движение по треку
2022-04-10 14:56:51.5017 INFO: Движение по треку
2022-04-10 14:56:51.6007 INFO: Движение по треку
2022-04-10 14:56:51.7017 INFO: Движение по треку
2022-04-10 14:56:51.8007 INFO: Движение по треку
2022-04-10 14:56:51.8997 INFO: Движение по треку
2022-04-10 14:56:52.0007 INFO: Движение по треку
2022-04-10 14:56:52.1017 INFO: Движение по треку
2022-04-10 14:56:52.2006 INFO: Движение по треку
2022-04-10 14:56:52.3007 INFO: Движение по треку
2022-04-10 14:56:52.3996 INFO: Движение по треку
2022-04-10 14:56:52.5007 INFO: Движение по треку
2022-04-10 14:56:52.6007 INFO: Движение по треку
2022-04-10 14:56:52.7007 INFO: Движение по треку
2022-04-10 14:56:52.8007 INFO: Движение по треку
2022-04-10 14:56:52.8997 INFO: Движение по треку
2022-04-10 14:56:53.0017 INFO: Движение по треку
2022-04-10 14:56:53.1007 INFO: Движение по треку
2022-04-10 14:56:53.2017 INFO: Движение по треку
2022-04-10 14:56:53.3007 INFO: Движение по треку
2022-04-10 14:56:53.4017 INFO: Движение по треку
2022-04-10 14:56:53.5027 INFO: Движение по треку
2022-04-10 14:56:53.6017 INFO: Движение по треку
2022-04-10 14:56:53.7007 INFO: Движение по треку
2022-04-10 14:56:53.8006 INFO: Движение по треку
2022-04-10 14:56:53.8997 INFO: Движение по треку
2022-04-10 14:56:54.0007 INFO: Движение по треку
2022-04-10 14:56:54.1007 INFO: Движение по треку
2022-04-10 14:56:54.1997 INFO: Движение по треку
2022-04-10 14:56:54.3000 INFO: Движение по треку
2022-04-10 14:56:54.4017 INFO: Движение по треку
2022-04-10 14:56:54.4999 INFO: Движение по треку
2022-04-10 14:56:54.5997 INFO: Движение по треку
2022-04-10 14:56:54.7007 INFO: Движение по треку
2022-04-10 14:56:54.8017 INFO: Движение по треку
2022-04-10 14:56:54.8997 INFO: Движение по треку
2022-04-10 14:56:55.0007 INFO: Движение по треку
2022-04-10 14:56:55.0998 INFO: Движение по треку
2022-04-10 14:56:55.2017 INFO: Движение по треку
2022-04-10 14:56:55.3010 INFO: Движение по треку
2022-04-10 14:56:55.3997 INFO: Движение по треку
2022-04-10 14:56:55.4997 INFO: Движение по треку
2022-04-10 14:56:55.6027 INFO: Движение по треку
2022-04-10 14:56:55.7027 INFO: Движение по треку
2022-04-10 14:56:55.8008 INFO: Движение по треку
2022-04-10 14:56:55.9007 INFO: Движение по треку
2022-04-10 14:56:56.0008 INFO: Движение по треку
2022-04-10 14:56:56.1010 INFO: Движение по треку
2022-04-10 14:56:56.1998 INFO: Движение по треку
2022-04-10 14:56:56.3007 INFO: Движение по треку
2022-04-10 14:56:56.4019 INFO: Движение по треку
2022-04-10 14:56:56.5006 INFO: Движение по треку
2022-04-10 14:56:56.6037 INFO: Движение по треку
2022-04-10 14:56:56.7018 INFO: Движение по треку
2022-04-10 14:56:56.7997 INFO: Движение по треку
2022-04-10 14:56:56.9007 INFO: Движение по треку
2022-04-10 14:56:57.0018 INFO: Движение по треку
2022-04-10 14:56:57.1008 INFO: Движение по треку
2022-04-10 14:56:57.2007 INFO: Движение по треку
2022-04-10 14:56:57.3007 INFO: Движение по треку
2022-04-10 14:56:57.4007 INFO: Движение по треку
2022-04-10 14:56:57.5007 INFO: Движение по треку
2022-04-10 14:56:57.5997 INFO: Движение по треку
2022-04-10 14:56:57.6998 INFO: Движение по треку
2022-04-10 14:56:57.8007 INFO: Движение по треку
2022-04-10 14:56:57.9007 INFO: Движение по треку
2022-04-10 14:56:57.9997 INFO: Движение по треку
2022-04-10 14:56:58.1006 INFO: Движение по треку
2022-04-10 14:56:58.2007 INFO: Движение по треку
2022-04-10 14:56:58.2997 INFO: Движение по треку
2022-04-10 14:56:58.4007 INFO: Движение по треку
2022-04-10 14:56:58.5007 INFO: Движение по треку
2022-04-10 14:56:58.6007 INFO: Движение по треку
2022-04-10 14:56:58.7028 INFO: Остановка движения по треку
2022-04-10 14:57:03.0000 INFO: Остановка движения по треку
2022-04-10 14:57:03.0990 INFO: Остановка движения по треку
2022-04-10 14:57:03.1990 INFO: Остановка движения по треку
2022-04-10 14:57:03.3000 INFO: Остановка движения по треку
2022-04-10 14:57:03.4000 INFO: Остановка движения по треку
2022-04-10 14:57:03.5000 INFO: Остановка движения по треку
2022-04-10 14:57:03.6000 INFO: Остановка движения по треку
2022-04-10 14:57:03.7000 INFO: Остановка движения по треку
2022-04-10 14:57:03.7998 INFO: Остановка движения по треку
2022-04-10 14:57:03.8990 INFO: Остановка движения по треку
2022-04-10 14:57:03.9999 INFO: Остановка движения по треку
2022-04-10 14:57:04.0990 INFO: Остановка движения по треку
2022-04-10 14:57:04.1999 INFO: Остановка движения по треку
2022-04-10 14:57:04.2990 INFO: Остановка движения по треку
2022-04-10 14:57:04.3989 INFO: Остановка движения по треку
2022-04-10 14:57:04.4990 INFO: Остановка движения по треку
2022-04-10 14:57:04.5999 INFO: Остановка движения по треку
2022-04-10 14:57:04.6990 INFO: Остановка движения по треку
2022-04-10 14:57:04.7990 INFO: Остановка движения по треку
2022-04-10 14:57:04.9000 INFO: Остановка движения по треку
2022-04-10 14:57:05.0000 INFO: Остановка движения по треку
2022-04-10 14:57:05.0999 INFO: Остановка движения по треку
2022-04-10 14:57:05.2000 INFO: Остановка движения по треку
2022-04-10 14:57:05.2990 INFO: Остановка движения по треку
2022-04-10 14:57:05.3990 INFO: Остановка движения по треку
2022-04-10 14:57:05.4990 INFO: Остановка движения по треку
2022-04-10 14:57:05.5990 INFO: Остановка движения по треку
2022-04-10 14:57:05.6990 INFO: Остановка движения по треку
2022-04-10 14:57:05.8000 INFO: Остановка движения по треку
2022-04-10 14:57:05.9000 INFO: Остановка движения по треку
2022-04-10 14:57:05.9990 INFO: Остановка движения по треку
2022-04-10 14:57:06.1000 INFO: Остановка движения по треку
2022-04-10 14:57:06.2000 INFO: Остановка движения по треку
2022-04-10 14:57:06.3000 INFO: Остановка движения по треку
